Poblacion,IMCV,Ind Entorno de la vivienda,Ind Servicios publicos,Ind Medio ambiente,Ind Escolaridad,Ind Desescolarizacion,Ind Movilidad,Ind Capital fisico,Ind Participacion,Ind Libertad y seguridad,Ind Vulnerabilidad,Ind Salud,Ind Trabajo,Ind Recreacion,Ind Percepcion calidad de vida,Ind Ingreso per-capita,Cultura Ciudadana,Infraestructura,Medio Ambiente,Movilidad,Salud,Seguridad,Biblioteca,Desarrollo Economico,Educacion,Educacion Superior,FONVALMED,Gestion del riesgo,Gestion y Control Territorial,INR,Inclusion Social,Jovenes,Mujeres,Museo Casa la Memoria,Participacion,APP,DAP,Gestion Humana,INDER,Vivienda
194787,39.99,2.53,3.92,2.45,2.03,4.16,1.43,4.82,1.16,1.64,9.21,3.06,0.51,0.07,1.43,1.46,1720000000,65400000000,436000000,81000000,62600000000,2640000000,,5490000000,74000000000,11100000000,,812000000,6160000000,,14700000000,161000000,604000000,33900000,1210000000,,386000000,190000000,2460000000,9460000000
174406,44.9,3.49,3.96,2.73,2.43,4.22,1.36,5.72,1.24,1.58,10.87,3.22,0.54,0.08,1.47,1.65,1900000000,29600000000,1480000000,418000000,42800000000,5890000000,,6770000000,106000000000,23000000000,,516000000,7200000000,,21400000000,263000000,794000000,37700000,823000000,,318000000,304000000,2750000000,7920000000
138542,38.41,2.3,3.67,2.41,1.99,4.12,1.35,4.56,1.12,1.69,8.79,2.95,0.53,0.05,1.4,1.32,2090000000,23500000000,1040000000,19300000,61000000000,3270000000,,4030000000,76700000000,9500000000,,783000000,6230000000,,19600000000,189000000,719000000,95800000,997000000,,336000000,190000000,4740000000,9800000000
137255,48.21,4.34,3.97,2.74,2.47,4.3,1.47,6.33,1.23,1.71,12.29,3.39,0.58,0.1,1.52,1.78,1850000000,22500000000,354000000,76800000,31500000000,5090000000,,4020000000,57900000000,5940000000,,524000000,5280000000,,12800000000,116000000,456000000,64800000,1050000000,,258000000,228000000,2410000000,4100000000
85658,55.29,6.46,3.78,2.58,2.79,4.35,1.53,7.34,1.38,1.58,15.45,3.5,0.57,0.06,1.47,2.19,9230000000,154000000000,68300000,3190000000,12400000000,36200000000,,6980000000,60900000000,1860000000,,531000000,8970000000,,25500000000,665000000,284000000,161000000,719000000,,90300000,228000000,3280000000,255000000
122744,68.91,8.81,4.1,2.98,3.76,4.43,1.65,10.44,1.58,1.78,19.79,3.99,0.58,0.11,1.74,2.9,1820000000,13500000000,141000000,2610000000,2940000000,12600000000,1500000000,4940000000,13600000000,1460000000,,444000000,8610000000,,3490000000,103000000,139000000,69400000,699000000,,60500000,190000000,4740000000,52300000
96918,62.19,7.45,4.21,3.08,3.36,4.41,1.61,8.94,1.47,1.82,17.33,3.8,0.58,0.11,1.68,2.5,1410000000,2040000000,271000000,548000000,5010000000,4920000000,,3580000000,41300000000,2430000000,,327000000,3450000000,,6410000000,82800000,170000000,29400000,1020000000,,74900000,152000000,2720000000,155000000
139175,40.06,2.54,3.76,2.51,2.08,4.23,1.38,4.8,1.26,1.64,9.33,3.01,0.52,0.06,1.45,1.47,1360000000,12900000000,492000000,2120000000,58600000000,5690000000,52400000,5150000000,50900000000,6220000000,,428000000,6380000000,,21900000000,225000000,699000000,33200000,1460000000,,329000000,266000000,2780000000,9020000000
131486,75.34,9.39,4.22,3.42,4.69,4.52,1.69,12.34,1.6,1.84,21.11,4.17,0.76,0.14,1.83,3.5,2730000000,21200000000,396000000,3720000000,3130000000,11700000000,,6350000000,35500000000,1410000000,,394000000,7480000000,,3790000000,65900000,106000000,48400000,710000000,,60300000,266000000,1050000000,33000000
95397,50.99,5.2,4.08,2.52,2.28,4.33,1.57,6.94,1.28,1.71,13.56,3.65,0.5,0.09,1.58,1.75,1030000000,16400000000,318000000,368000000,13000000000,3520000000,,3210000000,32700000000,2150000000,,341000000,4430000000,,4610000000,95300000,167000000,13400000,1010000000,,115000000,152000000,4660000000,61200000
197399,56.11,5.93,4.16,2.83,3.11,4.35,1.47,7.89,1.41,1.73,15.08,3.74,0.61,0.11,1.63,2.18,2200000000,20800000000,883000000,606000000,26300000000,6990000000,,7740000000,45800000000,5130000000,,430000000,7550000000,,9940000000,241000000,306000000,41200000,977000000,,249000000,304000000,6830000000,1390000000
7061,37.09,1,2.86,4.93,2.14,4.05,1.4,4.53,1.63,2.12,6.92,2.3,0.57,0.13,1.54,1.11,251000000,1740000000,719000000,,273000000,803000000,,3740000000,11500000000,2240000000,,4520000000,3540000000,,724000000,43800000,106000000,1430000,699000000,,10000000,23400000,453000000,109000000
